Time Code,Frame Number,Latitude,Longitude,Altitude,Distance,Speed
"00:00:04,471 --> 00:00:04,504",135,9.365059,80.089176,200.099,0.019267399851134428,15.400230786874765
"00:00:04,504 --> 00:00:04,537",136,9.365059,80.089176,200.099,0.019267399851134428,15.288216765281891
"00:00:04,537 --> 00:00:04,571",137,9.365059,80.089176,200.099,0.019267399851134428,15.174499992142627
"00:00:04,571 --> 00:00:04,604",138,9.365054,80.089182,200.107,0.020129046642498587,15.739480432883344
"00:00:04,604 --> 00:00:04,637",139,9.365054,80.089182,200.107,0.020129046642498587,15.627467740563924
"00:00:04,637 --> 00:00:04,671",140,9.365054,80.089182,200.107,0.020129046642498587,15.513716102118371
"00:00:04,671 --> 00:00:04,704",141,9.365049,80.089189,200.094,0.021074535089187434,16.128470731520995
"00:00:04,704 --> 00:00:04,738",142,9.365049,80.089189,200.094,0.021074535089187434,16.012732444296066
"00:00:04,738 --> 00:00:04,771",143,9.365049,80.089189,200.094,0.021074535089187434,15.901975753736066
"00:00:04,771 --> 00:00:04,804",144,9.365044,80.089196,200.101,0.022020249164479786,16.501435676962373
"00:00:04,804 --> 00:00:04,838",145,9.365044,80.089196,200.101,0.022020249164479786,16.385468580431425
"00:00:04,838 --> 00:00:04,871",146,9.365044,80.089196,200.101,0.022020249164479786,16.274460478777918
"00:00:04,871 --> 00:00:04,904",147,9.365039,80.089203,200.086,0.02296616099710427,16.85933515284979
"00:00:04,904 --> 00:00:04,938",148,9.365039,80.089203,200.086,0.02296616099710427,16.74325224576253
"00:00:04,938 --> 00:00:04,971",149,9.365039,80.089203,200.086,0.02296616099710427,16.63210211015397
"00:00:04,971 --> 00:00:05,004",150,9.365034,80.08921,200.089,0.023912247119815096,17.203055481881364
"00:00:05,004 --> 00:00:05,038",151,9.365034,80.08921,200.089,0.023912247119815096,17.0869570526666
"00:00:05,038 --> 00:00:05,071",152,9.365034,80.08921,200.089,0.023912247119815096,16.975762104384607
"00:00:05,071 --> 00:00:05,105",153,9.365028,80.089218,200.075,0.02501386002728705,17.639548697009477
"00:00:05,105 --> 00:00:05,138",154,9.365028,80.089218,200.075,0.02501386002728705,17.526254592883102
"00:00:05,138 --> 00:00:05,171",155,9.365028,80.089218,200.075,0.02501386002728705,17.414406516773038
"00:00:05,171 --> 00:00:05,205",156,9.365023,80.089225,200.083,0.025960200931757903,17.955182200639474
"00:00:05,205 --> 00:00:05,238",157,9.365023,80.089225,200.083,0.025960200931757903,17.842062496053543
"00:00:05,238 --> 00:00:05,271",158,9.365023,80.089225,200.083,0.025960200931757903,17.73035920211126
"00:00:05,271 --> 00:00:05,305",159,9.365017,80.089233,200.073,0.02706197726971647,18.36439550819591
"00:00:05,305 --> 00:00:05,338",160,9.365017,80.089233,200.073,0.02706197726971647,18.25086515005232
"00:00:05,338 --> 00:00:05,372",161,9.365017,80.089233,200.073,0.02706197726971647,18.135353345305155
"00:00:05,372 --> 00:00:05,405",162,9.365011,80.089241,200.078,0.028163809252691855,18.75850385008153
"00:00:05,405 --> 00:00:05,438",163,9.365011,80.089241,200.078,0.028163809252691855,18.644669604577174
"00:00:05,438 --> 00:00:05,472",164,9.365011,80.089241,200.078,0.028163809252691855,18.52882187677096
"00:00:05,472 --> 00:00:05,505",165,9.365006,80.089248,200.061,0.029110424463154188,19.036789839664863
"00:00:05,505 --> 00:00:05,538",166,9.365006,80.089248,200.061,0.029110424463154188,18.923352847120814
"00:00:05,538 --> 00:00:05,572",167,9.365006,80.089248,200.061,0.029110424463154188,18.807883716323595
"00:00:05,572 --> 00:00:05,605",168,9.365,80.089256,200.067,0.030212369999191767,19.4049120422998
"00:00:05,605 --> 00:00:05,638",169,9.365,80.089256,200.067,0.030212369999191767,19.291332386855334
"00:00:05,638 --> 00:00:05,672",170,9.365,80.089256,200.067,0.030212369999191767,19.175693229388287
"00:00:05,672 --> 00:00:05,705",171,9.364994,80.089264,200.050,0.03131435367624867,19.76015306476691
"00:00:05,705 --> 00:00:05,739",172,9.364994,80.089264,200.050,0.03131435367624867,19.6430864670666
"00:00:05,739 --> 00:00:05,772",173,9.364994,80.089264,200.050,0.03131435367624867,19.530781918658214
"00:00:05,772 --> 00:00:05,805",174,9.364988,80.089272,200.059,0.03241637160663417,20.103176190160728
"00:00:05,805 --> 00:00:05,839",175,9.364988,80.089272,200.059,0.03241637160663417,19.986117106333793
"00:00:05,839 --> 00:00:05,872",176,9.364988,80.089272,200.059,0.03241637160663417,19.873797306519588
"00:00:05,872 --> 00:00:05,905",177,9.364983,80.089279,200.047,0.03336323763836893,20.339992463696554
"00:00:05,905 --> 00:00:05,939",178,9.364983,80.089279,200.047,0.03336323763836893,20.22354866107563
"00:00:05,939 --> 00:00:05,972",179,9.364983,80.089279,200.047,0.03336323763836893,20.111797638668477
"00:00:05,972 --> 00:00:06,005",180,9.364977,80.089288,200.065,0.03455096385828822,20.713317217291856
"00:00:06,005 --> 00:00:06,039",181,9.364977,80.089288,200.065,0.03455096385828822,20.596699766490744
"00:00:06,039 --> 00:00:06,072",182,9.364977,80.089288,200.065,0.03455096385828822,20.484761180803293
"00:00:06,072 --> 00:00:06,106",183,9.36497,80.089297,200.054,0.035808251632666155,21.111972793579785
"00:00:06,106 --> 00:00:06,139",184,9.36497,80.089297,200.054,0.035808251632666155,20.99848605271187
"00:00:06,139 --> 00:00:06,172",185,9.36497,80.089297,200.054,0.035808251632666155,20.88621287712219
"00:00:06,172 --> 00:00:06,206",186,9.364964,80.089305,200.069,0.03691042814263207,21.41114104309949
"00:00:06,206 --> 00:00:06,239",187,9.364964,80.089305,200.069,0.03691042814263207,21.29789089813679
"00:00:06,239 --> 00:00:06,272",188,9.364964,80.089305,200.069,0.03691042814263207,21.185832479827077
"00:00:06,272 --> 00:00:06,306",189,9.364958,80.089313,200.060,0.03801262268848232,21.700831220827205
"00:00:06,306 --> 00:00:06,339",190,9.364958,80.089313,200.060,0.03801262268848232,21.58785954859384
"00:00:06,339 --> 00:00:06,373",191,9.364958,80.089313,200.060,0.03801262268848232,21.47268816546938
